layer,iteration,mean_ir_pwr,min_ir_pwr,max_ir_pwr,std_ir_pwr,eiq_ir_pwr,median_ir_pwr,mad_ir_pwr,q_10,q_90,q_5,q_95,q_1,q_99,out_sup,out_sup_rate,out_inf,out_inf_rate
42,1,15.71049,0.086217634,26.781063,2.769712,3.1411170959472656,16.03648,2.1233811,11.476266860961914,18.90729522705078,10.173681259155273,19.7298583984375,8.48894214630127,21.263134002685547,22.239486694335938,0.28438484896026756,9.675018310546875,3.4692171274349954
43,1,15.527679,0.0768968,29.651875,3.1728482,4.560214996337891,15.717241,2.5907147,11.182660102844238,19.464214324951172,10.21096420288086,20.424259185791016,8.770896911621094,22.67523956298828,24.63144874572754,0.3074136739508615,6.390588760375977,0.08161952195982175
44,1,15.799247,0.023302063,26.219482,2.7811394,3.127138137817383,16.15066,2.1318483,11.480926513671875,18.9725399017334,10.201642990112305,19.799762725830078,8.604449892044066,21.33769989013672,22.311728477478027,0.296490175908237,9.803175926208496,3.715162900797922
45,1,15.573367,0.053594746,29.157873,3.193352,4.501956939697266,15.763845,2.5920463,11.15469741821289,19.485185623168945,10.187662124633789,20.519798278808594,8.819830894470215,23.027099609375,24.565031051635742,0.3912129985979879,6.55720329284668,0.08281006112454871
46,1,15.871708,0.048934333,25.53207,2.8138182,3.159761428833008,16.211245,2.1556435,11.455293655395508,19.121673583984375,10.217954635620117,19.92792510986328,8.605452537536621,21.41925811767578,22.4631929397583,0.27027080697977834,9.82414722442627,3.707138445774065
47,1,15.547418,0.06990619,29.854603,3.160884,4.441372871398926,15.728893,2.565387,11.215282440185547,19.473533630371094,10.266889572143555,20.494165420532227,8.81283950805664,22.813745956420902,24.401919841766357,0.4243809538939981,6.636428356170654,0.08439958137807636
48,1,15.863329,0.048934333,25.438864,2.7531161,3.185391426086426,16.215906,2.1257448,11.613748550415039,19.014484405517578,10.311162948608398,19.790443420410156,8.768566131591797,21.24915313720703,22.489984035491943,0.1916325104057446,9.74841833114624,3.2430575413846787
49,1,15.540629,0.0722364,28.689499,3.1203275,4.4134111404418945,15.752195,2.533872,11.250235557556152,19.350032806396484,10.28087043762207,20.347362518310547,8.892067909240723,22.912918090820312,24.339005947113037,0.43868620531467645,6.685361385345459,0.08916709198111802
50,1,15.809869,0.06990619,24.961172,2.7483952,3.124805450439453,16.13901,2.1118546,11.562483787536621,18.974870681762695,10.290191650390625,19.781124114990234,8.71963119506836,21.274784088134766,22.315217971801758,0.2365183544995085,9.815996170043945,3.4923692545997955
51,1,15.57308,0.06291557,30.169182,3.1341531,4.308550834655762,15.733553,2.5226285,11.271208763122559,19.408287048339844,10.294851303100586,20.466201782226562,8.903718948364258,23.09234619140625,24.170063495635986,0.5800445607666675,6.9358601570129395,0.10286308883161034
52,1,15.800235,0.0722364,25.613628,2.7240171,3.0782012939453125,16.13901,2.0896783,11.590445518493652,18.932926177978516,10.328057050704956,19.720537185668945,8.710311889648438,21.16759490966797,22.20802879333496,0.31496625928912153,9.895223617553711,3.563527463230767
53,1,15.581778,0.08155722,29.542358,3.1561368,4.4180707931518555,15.756855,2.5525832,11.243246078491211,19.471206665039062,10.273880004882812,20.4638729095459,8.861774444580078,22.917579650878906,24.39725923538208,0.5039854165922008,6.724976062774658,0.09750072480172205
54,1,15.90925,0.0745666,25.608969,2.7876477,3.157430648803711,16.26251,2.1413276,11.53918170928955,19.082059860229492,10.329804420471191,19.913944244384766,8.770896911621094,21.49615478515625,22.482998847961426,0.35228678606818953,9.853276252746582,3.4255620404037597
